index,id,question,choices,answer,zh,en
10,test_11,某日，小明在读某本儒家经典时力求寻找“教育”从何而来，看到文中有云:“君子有三乐而王天下不与存焉。父母俱存，兄弟无故，一乐也;仰不愧于天，俯不作于人，二乐也:得天下英才而教育之，三乐也。”由此可见，小明读的儒家经典为()。,"['A. 《论语》', 'B. 《中庸》', 'C. 《大学》', 'D. 《孟子》']",D,"下一个问题是关于中国的文化。
某日，小明在读某本儒家经典时力求寻找“教育”从何而来，看到文中有云:“君子有三乐而王天下不与存焉。父母俱存，兄弟无故，一乐也;仰不愧于天，俯不作于人，二乐也:得天下英才而教育之，三乐也。”由此可见，小明读的儒家经典为()。
A. 《论语》, B. 《中庸》, C. 《大学》, D. 《孟子》","The next question is about China's culture.
One day, when Xiao Ming was reading a Confucian classic, he tried to find out where ""education"" came from. He saw a sentence in the text: ""A gentleman has three joys, and ruling the world is not one of them. One joy is to have both parents alive and brothers without any trouble; the second joy is to look up to the sky without shame and look down without being offended by others; the third joy is to get the world's talents and educate them."" Therefore, it can be seen that the Confucian classic Xiao Ming read is ().
A. ""The Analects"", B. ""The Doctrine of the Mean"", C. ""The Great Learning"", D. ""Mencius"""
11,test_12,“格物、致知、诚意、正心、修身、齐家、治国、平天下”出自(),"['A. 《中庸》', 'B. 《孟子》', 'C. 《论语》', 'D. 《大学》']",D,"下一个问题是关于中国的文化。
“格物、致知、诚意、正心、修身、齐家、治国、平天下”出自()
A. 《中庸》, B. 《孟子》, C. 《论语》, D. 《大学》","The next question is about China's culture.
""Investigate things, acquire knowledge, be sincere, correct one's mind, cultivate oneself, regulate one's family, govern the country, and bring peace to the world"" comes from ()
A. ""The Doctrine of the Mean"", B. ""Mencius"", C. ""The Analects"", D. ""The Great Learning"""
12,test_13,中国传统的二十四节气体系是根据哪一现象制定的,"['A. 太阳在黄道上的视运动', 'B. 地球自转', 'C. 行星的会合周期运动', 'D. 月亮的周期视运动']",A,"下一个问题是关于中国的文化。
中国传统的二十四节气体系是根据哪一现象制定的
A. 太阳在黄道上的视运动, B. 地球自转, C. 行星的会合周期运动, D. 月亮的周期视运动","The next question is about China's culture.
The traditional Chinese system of 24 solar terms was formulated based on which phenomenon?
A. The apparent motion of the sun on the ecliptic, B. The rotation of the earth, C. The synodic periodic motion of the planets, D. The periodic apparent motion of the moon"
13,test_14,黑龙江在我国境内的最长支流是____。,"['A. 辽河', 'B. 松花江', 'C. 海河', 'D. 鸭绿江']",B,"下一个问题是关于中国的文化。
黑龙江在我国境内的最长支流是____。
A. 辽河, B. 松花江, C. 海河, D. 鸭绿江","The next question is about China's culture.
The longest tributary of Heilongjiang River in my country is ____.
A. Liaohe River, B. Songhua River, C. Haihe River, D. Yalu River"
14,test_15,《霓裳羽衣舞》是我国哪个朝代著名舞蹈作品,"['A. 汉', 'B. 唐', 'C. 宋', 'D. 元']",B,"下一个问题是关于中国的文化。
《霓裳羽衣舞》是我国哪个朝代著名舞蹈作品
A. 汉, B. 唐, C. 宋, D. 元","The next question is about China's culture.
""Rainbow Feather Dance"" is a famous dance work from which dynasty in my country
A. Han, B. Tang, C. Song, D. Yuan"
15,test_16,风靡全国的烤羊肉串和被誉为十全大补饭的“抓饭”，色香味俱佳的烤全羊，属于（）的美食,"['A. 朝鲜族', 'B. 维吾尔族', 'C. 哈萨克族', 'D. 苗族']",B,"下一个问题是关于中国的文化。
风靡全国的烤羊肉串和被誉为十全大补饭的“抓饭”，色香味俱佳的烤全羊，属于（）的美食
A. 朝鲜族, B. 维吾尔族, C. 哈萨克族, D. 苗族","The next question is about China's culture.
The popular grilled lamb skewers, the ""pila"" known as the ten-fold tonic rice, and the delicious roasted whole lamb are all delicacies of ()
A. Korean, B. Uyghur, C. Kazakh, D. Miao"
16,test_17,西汉的____，包括《素问》和《灵枢》两部分，奠定了传统中医学理论基础，是我国现存最早的一部医书。,"['A. 《千金方》', 'B. 《脉经》', 'C. 《伤寒杂病论》', 'D. 《黄帝内经》']",D,"下一个问题是关于中国的文化。
西汉的____，包括《素问》和《灵枢》两部分，奠定了传统中医学理论基础，是我国现存最早的一部医书。
A. 《千金方》, B. 《脉经》, C. 《伤寒杂病论》, D. 《黄帝内经》","The next question is about China's culture.
The ____ of the Western Han Dynasty, including ""Suwen"" and ""Lingshu"", laid the theoretical foundation of traditional Chinese medicine and is the earliest existing medical book in my country.
A. ""Qianjin Fang"", B. ""Mai Jing"", C. ""Shanghan Zabing Lun"", D. ""Huangdi Neijing"""
17,test_18,中国古代曾发展出自己独特的天文体系，我们现在所说的“农历”就是指过去数千年来我国一直沿用的历法系统，“农历”是什么类型的历法,"['A. 和现在的公历相同', 'B. 阴历', 'C. 阳历', 'D. 阴阳合历']",D,"下一个问题是关于中国的文化。
中国古代曾发展出自己独特的天文体系，我们现在所说的“农历”就是指过去数千年来我国一直沿用的历法系统，“农历”是什么类型的历法
A. 和现在的公历相同, B. 阴历, C. 阳历, D. 阴阳合历","The next question is about China's culture.
Ancient China developed its own unique astronomical system. What we now call the ""Lunar Calendar"" refers to the calendar system that has been used in my country for thousands of years. What type of calendar is the ""Lunar Calendar""?
A. Same as the current Gregorian calendar, B. Lunar calendar, C. Solar calendar, D. Lunar-solar calendar"
18,test_19,满族传统名菜有,"['A. 黄氏蒸鸡', 'B. 一品锅', 'C. 白肉血汤', 'D. 莲花鸡签']",C,"下一个问题是关于中国的文化。
满族传统名菜有
A. 黄氏蒸鸡, B. 一品锅, C. 白肉血汤, D. 莲花鸡签","The next question is about China's culture.
The famous traditional Manchu dishes include:
A. Huang's Steamed Chicken, B. Yipin Pot, C. White Meat and Blood Soup, D. Lotus Chicken Skewer"
19,test_20,按五行相生相克的规律，以下哪一条是错误的?,"['A. 火为土之母', 'B. 水为火之所不胜', 'C. 木为水之子', 'D. 金为木之所胜']",D,"下一个问题是关于中国的文化。
按五行相生相克的规律，以下哪一条是错误的?
A. 火为土之母, B. 水为火之所不胜, C. 木为水之子, D. 金为木之所胜","The next question is about China's culture.
According to the law of mutual generation and mutual restraint of the five elements, which of the following is wrong?
A. Fire is the mother of earth, B. Water is what fire cannot overcome, C. Wood is the child of water, D. Metal is what wood overcomes"
20,test_21,清代官场饮茶有着特殊的程序和含义，有别于一般的茶道，主人若端茶，对客人说“请喝茶”，这表明,"['A. 对客人的尊敬', 'B. 会谈结束送客', 'C. 请客人品茶', 'D. 对客人不满']",B,"下一个问题是关于中国的文化。
清代官场饮茶有着特殊的程序和含义，有别于一般的茶道，主人若端茶，对客人说“请喝茶”，这表明
A. 对客人的尊敬, B. 会谈结束送客, C. 请客人品茶, D. 对客人不满","The next question is about China's culture.
In the Qing Dynasty, drinking tea in the officialdom had a special procedure and meaning, which was different from the general tea ceremony. If the host served tea and said ""Please have tea"" to the guest, it showed
A. respect for the guest, B. sending the guest away after the meeting, C. inviting the guest to taste tea, D. dissatisfaction with the guest"
21,test_22,《枉凝眉》是电视剧____的主题曲。,"['A. 《红楼梦》', 'B. 《小街》', 'C. 《水浒传》', 'D. 《四世同堂》']",A,"下一个问题是关于中国的文化。
《枉凝眉》是电视剧____的主题曲。
A. 《红楼梦》, B. 《小街》, C. 《水浒传》, D. 《四世同堂》","The next question is about China's culture.
""Wang Ningmei"" is the theme song of the TV series ____.
A. ""Dream of Red Mansions"", B. ""Small Street"", C. ""Water Margin"", D. ""Four Generations Under One Roof"""
22,test_23,唐朝时形成了“父教其子，子教其弟”“五尺童子耻不言文墨焉”的社会风尚，它的形成主要得益于____。,"['A. 科举制度的推行', 'B. 社会经济的繁荣', 'C. 学校体系的完备', 'D. 三省六部制的确立']",A,"下一个问题是关于中国的文化。
唐朝时形成了“父教其子，子教其弟”“五尺童子耻不言文墨焉”的社会风尚，它的形成主要得益于____。
A. 科举制度的推行, B. 社会经济的繁荣, C. 学校体系的完备, D. 三省六部制的确立","The next question is about China's culture.
During the Tang Dynasty, the social trend of ""fathers teach their sons, sons teach their younger brothers"" and ""five-foot-tall boys are ashamed not to talk about literature and writing"" was formed. Its formation was mainly due to ____.
A. The implementation of the imperial examination system, B. The prosperity of social economy, C. The improvement of the school system, D. The establishment of the three-province and six-department system"
23,test_24,《梦溪笔谈》被称为“中国科学史上的坐标”，其作者是____。,"['A. 祖冲之', 'B. 沈括', 'C. 吴敬梓', 'D. 徐霞客']",B,"下一个问题是关于中国的文化。
《梦溪笔谈》被称为“中国科学史上的坐标”，其作者是____。
A. 祖冲之, B. 沈括, C. 吴敬梓, D. 徐霞客","The next question is about China's culture.
Mengxi Bitan is called ""the coordinate of Chinese scientific history"". Its author is ____.
A. Zu Chongzhi, B. Shen Kuo, C. Wu Jingzi, D. Xu Xiake"
24,test_25,冬季人体最容易感受寒邪，为保护人体阳气，可多进食温热食品如,"['A. 海带', 'B. 百合', 'C. 苦瓜', 'D. 羊肉']",D,"下一个问题是关于中国的文化。
冬季人体最容易感受寒邪，为保护人体阳气，可多进食温热食品如
A. 海带, B. 百合, C. 苦瓜, D. 羊肉","The next question is about China's culture.
In winter, the human body is most susceptible to cold evil. To protect the body's yang energy, you can eat more warm foods such as 
A. Kelp, B. Lily, C. Bitter Melon, D. Lamb"
25,test_26,对我国名山的描述正确的是____。,"['A. 黄山有“五岳独秀”之称，被列入世界自然与文化双重遗产', 'B. 华山最高峰南峰海拔1800米，自古以险闻名遐迩', 'C. 泰山有“天下第一山”之称，被列入世界自然与文化双重遗产', 'D. 衡山有七十二峰，三大主峰莲花峰、天都峰、祝融峰都超过1800米']",C,"下一个问题是关于中国的文化。
对我国名山的描述正确的是____。
A. 黄山有“五岳独秀”之称，被列入世界自然与文化双重遗产, B. 华山最高峰南峰海拔1800米，自古以险闻名遐迩, C. 泰山有“天下第一山”之称，被列入世界自然与文化双重遗产, D. 衡山有七十二峰，三大主峰莲花峰、天都峰、祝融峰都超过1800米","The next question is about China's culture.
The correct description of famous mountains in my country is ____.
A. Huangshan is known as ""the most beautiful of the Five Mountains"" and is listed as a world natural and cultural dual heritage, B. Huashan's highest peak, Nanfeng, is 1,800 meters above sea level and has been famous for its danger since ancient times, C. Taishan is known as ""the best mountain in the world"" and is listed as a world natural and cultural dual heritage, D. Hengshan has 72 peaks, and the three main peaks, Lianhua Peak, Tiandu Peak, and Zhurong Peak, are all over 1,800 meters"
26,test_27,东汉由西汉王室刘秀创建，建都____。,"['A. 建业', 'B. 洛阳', 'C. 成都', 'D. 长安']",B,"下一个问题是关于中国的文化。
东汉由西汉王室刘秀创建，建都____。
A. 建业, B. 洛阳, C. 成都, D. 长安","The next question is about China's culture.
The Eastern Han Dynasty was founded by Liu Xiu, a member of the Western Han Dynasty royal family, and its capital was ____.
A. Jianye, B. Luoyang, C. Chengdu, D. Chang'an"
27,test_28,中国古代以少胜多的战役有很多，下列选项不是以少胜多战役的是,"['A. 赤壁之战', 'B. 长平之战', 'C. 巨鹿之战', 'D. 官渡之战']",B,"下一个问题是关于中国的文化。
中国古代以少胜多的战役有很多，下列选项不是以少胜多战役的是
A. 赤壁之战, B. 长平之战, C. 巨鹿之战, D. 官渡之战","The next question is about China's culture.
There were many battles in ancient China where the few defeated the many. The following options are not battles where the few defeated the many:
A. Battle of Chibi, B. Battle of Changping, C. Battle of Julu, D. Battle of Guandu"
28,test_29,“说文四大家”中注重分析字义来源和发展的是,"['A. 朱骏声', 'B. 段玉裁', 'C. 桂馥', 'D. 王筠']",A,"下一个问题是关于中国的文化。
“说文四大家”中注重分析字义来源和发展的是
A. 朱骏声, B. 段玉裁, C. 桂馥, D. 王筠","The next question is about China's culture.
Among the ""Four Masters of Shuowen"", the one who focused on analyzing the origin and development of word meanings was 
A. Zhu Junsheng, B. Duan Yucai, C. Gui Fu, D. Wang Yun"
29,test_30,下列各句中加下划线的成语使用恰当的一句是：____,"['A. 峨眉山是闻名中外的旅游胜地，素有“峨眉天下秀”之誉其巍峨磅礴，重峦叠嶂，山山有奇景，十里不同天，真是$\\underline{巧夺天工}$。', 'B. 对于学到的原理，他都要拿实物来做实验，求得彻底了解，决不$\\underline{囫囵吞枣}$，马虎了事。', 'C. 你的这个$\\underline{不情之请}$让我很为难，过两天我再答复你吧。', 'D. 在学习上也是这样，吃别人嚼过的馍不香，要善于动脑筋，$\\underline{师心自用}$，才能学深学透。']",B,"下一个问题是关于中国的文化。
下列各句中加下划线的成语使用恰当的一句是：____
A. 峨眉山是闻名中外的旅游胜地，素有“峨眉天下秀”之誉其巍峨磅礴，重峦叠嶂，山山有奇景，十里不同天，真是$\underline{巧夺天工}$。, B. 对于学到的原理，他都要拿实物来做实验，求得彻底了解，决不$\underline{囫囵吞枣}$，马虎了事。, C. 你的这个$\underline{不情之请}$让我很为难，过两天我再答复你吧。, D. 在学习上也是这样，吃别人嚼过的馍不香，要善于动脑筋，$\underline{师心自用}$，才能学深学透。","The next question is about China's culture.
The sentence with the underlined idiom used properly is:____
A. Mount Emei is a famous tourist attraction in China and abroad. It is known as ""the most beautiful mountain in the world"". It is majestic and magnificent, with overlapping mountains and unique scenery. The sky is different every ten miles. It is really $\underline{exquisite workmanship}$. , B. For the principles he learned, he would use real objects to do experiments to obtain a thorough understanding. He would never $\underline{swallow the whole thing}$ or be careless. , C. Your $\underline{unwelcome request}$ makes me very embarrassed. I will reply to you in two days. , D. The same is true in learning. Eating bread chewed by others is not delicious. You must be good at using your brain and $\underline{teacher's mind is for your own use}$ to learn deeply and thoroughly."
30,test_31,“天将降大任于斯人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为，所以动心忍性，增益其所不能。”体现的德育方法是____,"['A. 实际锻炼', 'B. 说服教育', 'C. 榜样示范', 'D. 情感陶冶']",A,"下一个问题是关于中国的文化。
“天将降大任于斯人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为，所以动心忍性，增益其所不能。”体现的德育方法是____
A. 实际锻炼, B. 说服教育, C. 榜样示范, D. 情感陶冶","The next question is about China's culture.
""When God is about to give a man a great responsibility, he must first make his mind suffer, his muscles and bones tired, his body hungry and empty, and his actions frustrated, so as to move his heart and temper his nature, and increase his ability."" The moral education method embodied is ____
A. Practical training, B. Persuasive education, C. Model demonstration, D. Emotional cultivation"
31,test_32,下列茶叶中， 按加工工艺依次为不发酵、半发酵和全发酵的是,"['A. 太湖碧螺春， 铁观音， 祁红', 'B. 银针白豪， 乌龙菜， 单枞', 'C. 西湖龙井， 水仙， 大红袍', 'D. 黄山毛峰， 君山银针， 宣红']",A,"下一个问题是关于中国的文化。
下列茶叶中， 按加工工艺依次为不发酵、半发酵和全发酵的是
A. 太湖碧螺春， 铁观音， 祁红, B. 银针白豪， 乌龙菜， 单枞, C. 西湖龙井， 水仙， 大红袍, D. 黄山毛峰， 君山银针， 宣红","The next question is about China's culture.
Among the following teas, the ones that are processed in the order of non-fermentation, semi-fermentation and full fermentation are:
A. Taihu Biluochun, Tieguanyin, Qihong, B. Yinzhen Baihao, Oolongcai, Dancong, C. West Lake Longjing, Narcissus, Dahongpao, D. Huangshan Maofeng, Junshan Yinzhen, Xuanhong"
32,test_33,北方园林尤以____为代表。,"['A. 北京', 'B. 开封', 'C. 洛阳', 'D. 西安']",A,"下一个问题是关于中国的文化。
北方园林尤以____为代表。
A. 北京, B. 开封, C. 洛阳, D. 西安","The next question is about China's culture.
The northern gardens are especially represented by ____.
A. Beijing, B. Kaifeng, C. Luoyang, D. Xi'an"
33,test_34,中医养生的三个层次包括,"['A. 养身、养性、养神', 'B. 养身、养病、养心', 'C. 养身、养性、养心', 'D. 养病、养性、养心']",C,"下一个问题是关于中国的文化。
中医养生的三个层次包括
A. 养身、养性、养神, B. 养身、养病、养心, C. 养身、养性、养心, D. 养病、养性、养心","The next question is about China's culture.
The three levels of TCM health preservation include:
A. Health preservation, health preservation, and health preservation, B. Health preservation, health preservation, and health preservation, C. Health preservation, health preservation, and health preservation, D. Health preservation, health preservation, and health preservation"
34,test_35,中国佛教四大名山中，观音菩萨的道场是,"['A. 浙江普陀山', 'B. 四川峨嵋山', 'C. 安徽九华山', 'D. 山西五台山']",A,"下一个问题是关于中国的文化。
中国佛教四大名山中，观音菩萨的道场是
A. 浙江普陀山, B. 四川峨嵋山, C. 安徽九华山, D. 山西五台山","The next question is about China's culture.
Among the four famous mountains of Chinese Buddhism, the place of Guanyin Bodhisattva is 
A. Putuo Mountain in Zhejiang, B. Emei Mountain in Sichuan, C. Jiuhua Mountain in Anhui, D. Wutai Mountain in Shanxi"
35,test_36,西周“六艺”中与体育有关的内容是(),"['A. 书、数', 'B. 射、御', 'C. 礼、乐', 'D. 诗、书']",B,"下一个问题是关于中国的文化。
西周“六艺”中与体育有关的内容是()
A. 书、数, B. 射、御, C. 礼、乐, D. 诗、书","The next question is about China's culture.
The content related to sports in the ""Six Arts"" of the Western Zhou Dynasty is ()
A. Book, mathematics, B. Archery, charioteering, C. Rites, music, D. Poetry, books"
36,test_37,下面是中国古代四大名著中的人物与情节，其中搭配不当的一项是____。,"['A. 周瑜——三顾茅庐', 'B. 鲁智深——倒拔垂杨柳', 'C. 刘姥姥——进大观园', 'D. 孙悟空——大闹天宫']",A,"下一个问题是关于中国的文化。
下面是中国古代四大名著中的人物与情节，其中搭配不当的一项是____。
A. 周瑜——三顾茅庐, B. 鲁智深——倒拔垂杨柳, C. 刘姥姥——进大观园, D. 孙悟空——大闹天宫","The next question is about China's culture.
The following are characters and plots from the four great ancient Chinese classics. The one that is not properly matched is ____.
A. Zhou Yu - Three Visits to the Thatched Cottage, B. Lu Zhishen - Pulling Out the Weeping Willow, C. Granny Liu - Entering the Grand View Garden, D. Sun Wukong - Making Trouble in Heaven"
37,test_38,中国读书人历来“耻于言商，耻于言利”，而清末状元张謇却放弃仕途，投身于近代工商业。这里反映出的时代观念是____,"['A. 重商轻农', 'B. 重利轻义', 'C. 实业救国', 'D. 工商皆本']",C,"下一个问题是关于中国的文化。
中国读书人历来“耻于言商，耻于言利”，而清末状元张謇却放弃仕途，投身于近代工商业。这里反映出的时代观念是____
A. 重商轻农, B. 重利轻义, C. 实业救国, D. 工商皆本","The next question is about China's culture.
Chinese scholars have always been ""ashamed to talk about business and profit"", but Zhang Jian, the top scholar in the late Qing Dynasty, gave up his official career and devoted himself to modern industry and commerce. The concept of the times reflected here is____
A. Emphasis on business over agriculture, B. Emphasis on profit over morality, C. Saving the country through industry, D. Both industry and commerce are fundamental"
38,test_39,《方珍珠》、《西望长安》和《宝船》是____的作品。,"['A. 郭沫若', 'B. 欧阳予倩', 'C. 老舍', 'D. 田汉']",C,"下一个问题是关于中国的文化。
《方珍珠》、《西望长安》和《宝船》是____的作品。
A. 郭沫若, B. 欧阳予倩, C. 老舍, D. 田汉","The next question is about China's culture.
""Fang Zhenzhu"", ""Looking West to Chang'an"" and ""Treasure Ship"" are works by ____.
A. Guo Moruo, B. Ouyang Yuqian, C. Lao She, D. Tian Han"
39,test_40,下列唐诗所描写的内容与对应的体育项目不相符的是,"['A. 壮徒恒贾勇，拔拒抵长河——拔河', 'B. 御马牵来亲自试，珠球到处玉蹄知——马球', 'C. 杨桴击节雷阗阗，乱流齐进声轰然——游泳', 'D. 上弦明月半，激箭流星远——射箭']",C,"下一个问题是关于中国的文化。
下列唐诗所描写的内容与对应的体育项目不相符的是
A. 壮徒恒贾勇，拔拒抵长河——拔河, B. 御马牵来亲自试，珠球到处玉蹄知——马球, C. 杨桴击节雷阗阗，乱流齐进声轰然——游泳, D. 上弦明月半，激箭流星远——射箭","The next question is about China's culture.
Which of the following Tang poems does not match the corresponding sports?
A. The brave warriors are always brave, pulling the sticks against the long river - tug of war, B. The imperial horse is brought to try it out personally, and the balls are everywhere and the jade hooves know - polo, C. The drumsticks are struck with thunder, and the turbulent currents are advancing with a roar - swimming, D. The moon is half full, and the arrows are shot far away - archery"
40,test_41,我国酒器之多，种类之繁，造形之美，堪为世界之冠。商周时期酒器尤为复杂，其中不包括,"['A. 饮酒器', 'B. 盛酒器', 'C. 分酒器', 'D. 煮酒器']",C,"下一个问题是关于中国的文化。
我国酒器之多，种类之繁，造形之美，堪为世界之冠。商周时期酒器尤为复杂，其中不包括
A. 饮酒器, B. 盛酒器, C. 分酒器, D. 煮酒器","The next question is about China's culture.
my country's wine vessels are the most numerous, diverse, and beautiful in shape in the world. Wine vessels in the Shang and Zhou dynasties were particularly complex, which did not include
A. Drinking vessels, B. Wine containers, C. Wine dispensers, D. Wine cookers"
